# Ghidra 11.4.1 - suspicious path/registry/network strings in KG.exe
# Total suspicious: 507
# Total decompiled funcs: 6

[022ed28f] (21 bytes) SystemTimeToFileTime
[022ed4d7] (20 bytes) GetNativeSystemInfo
[022ed5db] (23 bytes) GetSystemFirmwareTable
[022ed687] (20 bytes) GetSystemDirectoryA
[022ed7b1] (20 bytes) GetDiskFreeSpaceExA
[022ed83b] (13 bytes) KERNEL32.dll
[022eda4d] (11 bytes) USER32.dll
[022eda6d] (12 bytes) SHELL32.dll
[022edb21] (10 bytes) ole32.dll
[022edb2b] (13 bytes) OLEAUT32.dll
[022edce5] (12 bytes) StartTraceW
[022edcf3] (14 bytes) ControlTraceW
[022edd03] (15 bytes) EnableTraceEx2
[022edd15] (11 bytes) OpenTraceW
[022edd23] (13 bytes) ProcessTrace
[022edd33] (11 bytes) CloseTrace
[022eddf5] (13 bytes) ADVAPI32.dll
[022ede7f] (12 bytes) SHLWAPI.dll
[022edf59] (13 bytes) WINTRUST.dll
[022ee053] (28 bytes) SetupDiEnumDeviceInterfaces
[022ee071] (33 bytes) SetupDiGetDeviceInterfaceDetailW
[022ee0ab] (13 bytes) SETUPAPI.dll
[022ee16b] (13 bytes) IPHLPAPI.DLL
[022ee375] (12 bytes) VERSION.dll
[022ee3d9] (11 bytes) WS2_32.dll
[022ee3e5] (12 bytes) WLDAP32.dll
[022ee4c5] (12 bytes) WINHTTP.dll
[022ee581] (12 bytes) CRYPT32.dll
[022ee6a5] (24 bytes) GetSystemTimeAsFileTime
[022ee87b] (32 bytes) SystemTimeToTzSpecificLocalTime
[022ee9fd] (19 bytes) EnumSystemLocalesW
[022eeb35] (27 bytes) GetSystemWindowsDirectoryW
[022fbbf7] (23 bytes) .?AVsystem_error@std@@
[022fbc1f] (24 bytes) .?AV_System_error@std@@
[022fd35f] (22 bytes) .?AV_Facet_base@std@@
[022fd387] (23 bytes) .?AVfacet@locale@std@@
[022fd8df] (33 bytes) .?AV_System_error_category@std@@
[02312e7f] (38 bytes) ACE-SSC Client DLL
[02312f03] (24 bytes) ACE-SSC.DLL
[02312f43] (24 bytes) ACE-SSC.DLL
[028a855f] (133 bytes) \Registry\Machine\System\CurrentControlSet\Services\ACE-SSC-DRV64
[028a87af] (45 bytes) \Device\ACE-SSC-DRV64
[028a87df] (53 bytes) \DosDevices\ACE-SSC-DRV64
[028a8817] (45 bytes) IoGetIommuInterfaceEx
[028a8aaf] (117 bytes) \Registry\Machine\System\CurrentControlSet\Control\Class
[028a8e2f] (117 bytes) C:\data\landun\workspace\CommonComponent\ACE-SSC\1.compile_source\SOURCE\SscDrv\build64\Release\ACE-SSC-DRV64.pdb
[028a8f83] (6 bytes) .data
[028af1d1] (25 bytes) ZwQuerySystemInformation
[028af42d] (26 bytes) MmGetSystemRoutineAddress
[028af8c3] (19 bytes) MmSystemRangeStart
[028af8f1] (13 bytes) MmMapIoSpace
[028af901] (15 bytes) MmUnmapIoSpace
[028af9a9] (22 bytes) IoGetDeviceInterfaces
[028afa47] (31 bytes) KeSetSystemGroupAffinityThread
[028afc15] (13 bytes) ntoskrnl.exe
[028afc6f] (8 bytes) HAL.dll
[028afdd3] (23 bytes) RtlAddAccessAllowedAce
[028b001f] (24 bytes) ACE-SSC-DRV
[028b0093] (32 bytes) ACE-SSC-DRV.sys
[028b00db] (32 bytes) ACE-SSC-DRV.sys
[02a70121] (21 bytes) SystemTimeToFileTime
[02a702bd] (24 bytes) GetSystemTimeAsFileTime
[02a7d115] (32 bytes) SystemTimeToTzSpecificLocalTime
[02a7ffab] (11 bytes) LdrLoadDll
[02a8569f] (13 bytes) OLEAUT32.dll
[02a8c469] (27 bytes) NtQuerySystemInformation
[02a8cb35] (16 bytes) LdrGetDllHandle
[02acb483] (23 bytes) GetSystemFirmwareTable
[02ae0e4f] (10 bytes) ntdll.dll
[02b35d19] (32 bytes) TzSpecificLocalTimeToSystemTime
[02b40d0b] (21 bytes) EnumSystemLocalesW
[02b49b0b] (31 bytes) GetSystemTimePreciseAsFileTime
[02b540d1] (21 bytes) FileTimeToSystemTime
[02b54491] (13 bytes) LdrAddRefDll
[02e5a781] (13 bytes) ADVAPI32.dll
[02e5ac6d] (14 bytes) GetSystemInfo
[02e663c1] (11 bytes) USER32.dll
[02e67f71] (13 bytes) KERNEL32.dll
[02ee838f] (66 bytes) C:\Program Files\AntiCheatExpert\SGuard\x64\Plugins\ACE-SSC64.dll
[02ee84df] (43 bytes) \Program Files\AntiCheatExpert\SGuard\x64\
[02ee850a] (45 bytes) C:\Program Files\AntiCheatExpert\SGuard\x64\
[02ee858e] (56 bytes) \Program Files\AntiCheatExpert\SGuard\x64\ACE-SSC64.dll
[02ee85c6] (60 bytes) \Program Files\AntiCheatExpert\SGuard\x64\ACE-SSC-DRV64.sys
[02ee8602] (53 bytes) \Program Files\AntiCheatExpert\SGuard\x64\sguard.dat
[02ee8659] (13 bytes) kernel32.dll
[02ee8666] (12 bytes) Shell32.dll
[02ee8672] (13 bytes) Kernel32.dll
[02ee867f] (11 bytes) msvcrt.dll
[02ee868a] (13 bytes) advapi32.dll
